SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActivationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator,IcaoIdentifier,MinimumOperationalNetwork
50320.*A,AIRPORT,'HOM,4/22/21,AAL,NONE,AK,ALASKA,KENAI PENINSULA,AK,HOMER,HOMER,PU,PU,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519-6900",    907-269-0783,KEVIN JONES,2336 KACHEMAK DR,"HOMER, AK 99603",    907-235-8872,59-38-41.9819N,214721.9819N,151-29-08.9103W,545348.9103W,E,84,S,17E,2015,800,SEWARD,2,E,1040,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,Y,HOM,HOMER,907-235-8588,LC235-8588,ENA,KENAI,1-866-864-1737,HOM,Y,5/1/47,O,I A S 04/1985,NGY,NO OBJECTION,N,N,N,Y,F,F,6152018,3222001,100LLA    B,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,123,123.6,Y,CG,N,,84,4,,3,,,2,33077,,10900,5500,4250,110,12/31/17,FAA-EST,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",CARGO,Y-L,PAHO,N
50385.*A,AIRPORT,'JNU,4/22/21,AAL,NONE,AK,ALASKA,JUNEAU,AK,JUNEAU,JUNEAU INTL,PU,PU,CITY OF JUNEAU,155 S SEWARD,"JUNEAU, AK 99801",    907-789-7821,PATTY WAHTO,"1873 SHELL SIMMONS DR, SUITE 200","JUNEAU, AK 99801",    907-789-7821,58-21-16.9625N,210076.9625N,134-34-42.4939W,484482.4939W,E,25,E,20E,2015,,JUNEAU,7,NW,662,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,Y,JNU,JUNEAU,907-586-7380,1-866-297-2236,,,,JNU,Y,11/1/41,O,I C S 04/2005,NGPSY,NO OBJECTION,Y,Y,N,Y,F,F,10112019,,100LLA1+,MAJOR,MAJOR,NONE,,SEE RMK,SS-SR,Y,122.95,118.7,Y,CG,Y,,239,4,1,28,,3,0,9822,,80791,3531,14560,658,9/30/19,FAA,00:00.0,FAA,00:00.0,,"BUOY,HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR",Y-L,PAJN,N
50410.*A,AIRPORT,'ENA,4/22/21,AAL,NONE,AK,ALASKA,KENAI-COOK INLET,AK,KENAI,KENAI MUNI,PU,PU,CITY OF KENAI,210 FIDALGO ST,"KENAI, AK 99611",    907-283-7951,MARY BONDURANT,305 N WILLOW SUITE 200,"KENAI, AK 99611",    907-283-7951,60-34-23.8000N,218063.8000N,151-14-41.4000W,544481.4000W,E,99,S,15E,2020,,ANCHORAGE,0,N,1200,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,Y,ENA,KENAI,907-283-7211,1-866-864-1737,,,,ENA,Y,5/1/47,O,I A S 03/2005,NGPY,NO OBJECTION,N,N,N,Y,F,F,6272019,,100LLA,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,Y,,121.3,Y,CG,N,,32,14,,1,,,,1040,,24529,6404,6142,2581,5/31/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"CARGO,CHTR,INSTR,RNTL",Y-L,PAEN,N
50412.03*A,AIRPORT,'KTN,4/22/21,AAL,NONE,AK,ALASKA,KETCHIKAN GATEWAY,AK,KETCHIKAN,KETCHIKAN INTL,PU,PU,ALASKA DOT&PF SOUTHCOAST REGION,6860 GLACIER HIGHWAY,"JUNEAU, AK 99801-7999",    907-465-1786,MIKE CARNEY,1000 ARPT TERMINAL WAY,"KETCHIKAN, AK 99901",    907-225-6800,55-21-14.7000N,199274.7000N,131-42-40.4000W,474160.4000W,E,92,S,21E,2010,,KETCHIKAN,1,W,2600,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,Y,KTN,KETCHIKAN,907-225-9481,LC225-9481,JNU,JUNEAU,1-866-297-2236,KTN,Y,4/1/73,O,I B S 03/2005,NGY,NO OBJECTION,N,Y,N,Y,F,F,2272020,,100LLA,,,,,SEE RMK,SEE RMK,N,122.95,123.6,Y,CG,Y,,3,1,1,0,,,,5290,,9789,350,395,135,1/31/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","BCHGR,CARGO",Y-L,PAKT,N
50416.*A,AIRPORT,'AKN,4/22/21,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,KING SALMON,KING SALMON,PU,PU,ALASKA DOT&PF SOUTHCOAST REGION,PO BOX 112500,"JUNEAU, AK 99811-2500",    907-465-4512,FLOYD WILSON,PO BOX 65,"KING SALMON, AK 99613",    907-246-3325,58-40-35.3765N,211235.3765N,156-38-55.2876W,563935.2876W,E,73,S,11E,2025,,KODIAK,0,SE,5277,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,AKN,Y,8/1/54,O,I B S 03/2005,NGY,NO OBJECTION,N,N,N,Y,F,F,7262018,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,122.95,121.9,Y,CG,,,33,3,,3,,,,476,,10708,491,3118,514,12/31/17,FAA-EST,00:00.0,NGS,00:00.0,,TIE,CARGO,Y-L,PAKN,N
50425.*A,AIRPORT,'ADQ,4/22/21,AAL,NONE,AK,ALASKA,KODIAK ISLAND,AK,KODIAK,KODIAK,PU,PU,ALASKA DOT&PF SOUTHCOAST REGION,P O BOX 112500,"JUNEAU, AK 99811-2500",    907-465-4512,PHILLIP SMITH,1500 ANTON LARSON RD,"KODIAK, AK 99615",    907-487-4952,57-44-59.2580N,207899.2580N,152-29-38.1970W,548978.1970W,E,78,S,14E,2020,,KODIAK,4,SW,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,ADQ,Y,4/1/48,O,I B S 04/2005,NGY,NO OBJECTION,N,N,N,Y,F,F,10312019,,100LLA1,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,Y,122.8,119.8,Y,CG,N,,34,5,,2,,15,,2300,,20880,950,850,15969,7/31/18,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,,"AFRT,CARGO,CHTR",Y-L,PADQ,N
50429.*A,AIRPORT,'OTZ,4/22/21,AAL,NONE,AK,ALASKA,NORTHWEST ARCTIC,AK,KOTZEBUE,RALPH WIEN MEML,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99701",    907-451-5250,ALVIN WERNEKE,BOX 55,"KOTZEBUE, AK 99752",    907-442-3147,66-53-05.3000N,240785.3000N,162-35-53.3000W,585353.3000W,E,15,S,11E,2020,,NOME,1,S,1480,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,Y,OTZ,KOTZEBUE,907-442-3310,1-800-478-7460,FAI,FAIRBANKS,1-866-248-6516,OTZ,Y,9/1/47,O,I B S 04/2005,NGSY,CONDITIONAL,N,N,N,Y,F,F,7082015,,100  A,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,123.6,Y,CG,N,,37,6,,,,,,2000,,20000,7000,30000,1000,12/1/14,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,CARGO,Y-L,PAOT,N
50540.*A,AIRPORT,'OME,4/22/21,AAL,NONE,AK,ALASKA,NOME,AK,NOME,NOME,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",    907-443-2500,DARRIN OTTON,BOX 1048,"NOME, AK 99762",    907-443-2500,64-30-45.2000N,232245.2000N,165-26-39.8000W,595599.8000W,E,40,S,11E,2015,1100,NOME,2,W,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,Y,OME,NOME,LC 443-2291,1-800-478-8400,FAI,FAIRBANKS,1-866-248-6516,OME,Y,,O,I B S 04/2005,NGPY,NO OBJECTION,N,Y,N,Y,F,F,3212019,,100LLA    A1+,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,,123.6,Y,CG,N,,51,12,,5,,3,,1525,,14950,4750,4750,1475,12/31/18,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,CARGO,Y,PAOM,N
50590.2*A,AIRPORT,'PSG,4/22/21,AAL,NONE,AK,ALASKA,WRANGELL-PETERSBURG,AK,PETERSBURG,PETERSBURG JAMES A JOHNSON,PU,PU,ALASKA DOT&PF SOUTHCOAST REGION,6860 GLACIER HWY,"JUNEAU, AK 99801-7999",    907-465-1779,BARRY YOUNGBERG,P.O. BOX 1108,"PETERSBURG, AK 99811",    907-772-4624,56-48-05.3000N,204485.3000N,132-56-46.4000W,478606.4000W,E,113,S,21E,2010,,JUNEAU,1,SE,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,SIT,SITKA,907-966-2221,1-800-478-6300,JNU,JUNEAU,1-866-297-2236,PSG,Y,1/1/64,O,I B S 03/2005,NGY,NO OBJECTION,N,N,N,Y,F,F,12132017,,100  A,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,,122.5,Y,CG,,,10,1,,1,,,,1392,,10000,1600,400,100,12/1/17,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,CARGO,Y-L,PAPG,N
50684.4*A,AIRPORT,'SDP,4/22/21,AAL,NONE,AK,ALASKA,ALEUTIANS EAST,AK,SAND POINT,SAND POINT,PU,PU,ALASKA DOT&PF SOUTHCOAST REGION,P.O. BOX 112506,"JUNEAU, AK 99811-2506",  (907) 465-1784,HAROLD KREMER,BOX 97,"COLD BAY, AK 99571",    907-532-5000,55-18-49.3030N,199129.3030N,160-31-17.1290W,577877.1290W,E,23,S,11E,2020,,COLD BAY,2,SW,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,CDB,COLD BAY,907-532-2466,1-800-478-7250,ENA,KENAI,1-866-864-1737,SDP,Y,6/1/58,O,I A S 11/2018,NGSY,NO OBJECTION,N,N,N,Y,F,F,12122019,,A,NONE,NONE,NONE,NONE,SEE RMK,SEE RMK,N,122.8,122.3,Y,CG,Y,,0,1,0,0,0,0,0,0,,0,0,3680,,12/18/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,,,Y-L,PASD,N
50703.*A,AIRPORT,'SIT,4/22/21,AAL,NONE,AK,ALASKA,SITKA,AK,SITKA,SITKA ROCKY GUTIERREZ,PU,PU,ALASKA DOT&PF SOUTHCOAST REGION,6860 GLACIER HIGHWAY,"JUNEAU, AK 99801-7999",    907-465-1786,KELLY BODDY,605 AIRPORT RD,"SITKA, AK 99835",    907-966-2960,57-02-48.6037N,205368.6037N,135-21-39.8473W,487299.8473W,E,26,E,20E,2015,,JUNEAU,0,W,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,Y,SIT,SITKA,907-966-2221,1-800-478-6300,JNU,JUNEAU,1-866-297-2236,SIT,Y,12/1/69,O,I B S 03/2005,NGPY,NO OBJECTION,N,Y,N,Y,F,F,7182018,,100  A1+,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.95,123.6,Y,CG,N,,21,4,,0,,3,0,1800,,9860,3342,7000,1325,12/31/17,FAA-EST,00:00.0,FAA,00:00.0,,TIE,CARGO,Y-L,PASI,N
50801.*A,AIRPORT,'DUT,4/22/21,AAL,NONE,AK,ALASKA,ALEUTIANS WEST,AK,UNALASKA,UNALASKA,PU,PU,ALASKA DOT&PF SOUTHCOAST REGION,PO BOX 112500,"JUNEAU, AK 99811-2500",    907-465-4512,DALE RUCKMAN,PO BOX 920525,"DUTCH HARBOR, AK 99692",    907-581-1786,53-53-56.2000N,194036.2000N,166-32-42.1000W,599562.1000W,E,23,S,09E,2020,2078,DUTCH HARBOR,1,N,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,CDB,COLD BAY,907-532-2466,1-800-478-7250,ENA,KENAI,1-866-864-1737,DUT,Y,1/1/50,O,I A S 05/2005,NGY,NOT ANALYZED,N,N,N,Y,F,F,3072018,,A,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.6,Y,CG,N,,2,3,,,,,1,2500,,100,,50,50,12/31/17,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,CARGO,Y-L,PADU,N
50825.1*A,AIRPORT,'VDZ,4/22/21,AAL,NONE,AK,ALASKA,VALDEZ-CORDOVA,AK,VALDEZ,VALDEZ PIONEER FLD,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER ROAD,"FAIRBANKS, AK 99709",    907-451-5217,TODD BISCHOFF.DIMOND,BOX 507,"VALDEZ, AK 99686",    907-835-5658,61-08-03.1750N,220083.1750N,146-14-41.1430W,526481.1430W,E,121,S,19E,2015,,ANCHORAGE,3,E,836,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,JNU,JUNEAU,907-586-7380,1-866-297-2236,,,,VDZ,Y,10/1/52,O,I A S 04/2005,NGY,NO OBJECTION,N,Y,N,Y,F,F,8062019,,100LLA    B,MINOR,MINOR,NONE,NONE,SEE RMK,SEE RMK,N,,122.9,Y,CG,N,,25,1,,7,,,2,,,3800,2500,2500,500,12/31/18,STATE,00:00.0,FAA,00:00.0,,,CARGO,Y-L,PAVD,N
