Temple,Latitude,Longitude,LatitudeDegrees,LongitudeDegress,Address,City,State,Postal Code,Country,Phone
Colonia Juárez Chihuahua Mexico Temple,30.30525100,-108.08203800,30°18'18"N,108°4'55"W,Calles Chihuahua y Díaz,Colonia Juárez,Chihuahua,31857,Mexico,(+52) 636-695-0144
Columbia River Washington Temple,46.22673300,-119.27489300,46°13'36"N,119°16'29"W,969 Gage Boulevard,Richland,Washington,99352,United States,(+1) 509-628-0990
Columbia South Carolina Temple,33.95963800,-80.89398100,33°57'34"N,80°53'38"W,2905 Trotter Road,Hopkins,South Carolina,29061-9573,United States,(+1) 803-647-9472
Columbus Ohio Temple,39.99408900,-83.11321400,39°59'38"N,83°6'47"W,3870 Gateway Boulevard,Columbus,Ohio,43228,United States,(+1) 614-351-5001
Concepción Chile Temple,-36.85149900,-73.04996600,36°51'5"S,73°2'59"W,1525 Pedro de Valdivia,Concepción,Bío-Bío,,Chile,(+56) 41-383-4700
Copenhagen Denmark Temple,55.69267700,12.53392000,55°41'33"N,12°32'2"E,Priorvej 12,Frederiksberg,,DK-2000,Denmark,(+45) 38-18-1818
Córdoba Argentina Temple,-31.35887300,-64.24580900,31°21'31"S,64°14'44"W,Avenida Pedro Simón Laplace 5637 Villa Belgrano,Córdoba,,,Argentina,(+54) 354-340-6200
Curitiba Brazil Temple,-25.44130400,-49.34213800,25°26'28"S,49°20'31"W,Rua Deputado Heitor Alencar Furtado 3641 Mossunguê,Curitiba,Paraná,81200-110,Brazil,(+55) 41-3204-6650
Dallas Texas Temple,32.91428800,-96.79652500,32°54'51"N,96°47'47"W,6363 Willow Lane,Dallas,Texas,75230-2227,United States,(+1) 972-991-1273
Davao Philippines Temple,7.08859700,125.57975500,7°5'18"N,125°34'47"E,Ma-a Road and Anahaw Road Barangay Ma-a,Davao City,Davao del Sur,8000,Philippines,
Denver Colorado Temple,39.56869800,-104.96578200,39°34'7"N,104°57'56"W,2001 East Phillips Circle,Centennial,Colorado,80122,United States,(+1) 303-730-0220
Deseret Peak Utah Temple,40.57024300,-112.31522000,40°34'12"N,112°18'54"W,West of 2400 North 400 West,Tooele,Utah,84074,United States,
Detroit Michigan Temple,42.56626600,-83.22998300,42°33'58"N,83°13'47"W,37425 Woodward Avenue,Bloomfield Hills,Michigan,48304,United States,(+1) 248-593-0690
Draper Utah Temple,40.49589300,-111.84074800,40°29'45"N,111°50'26"W,14065 Canyon Vista Lane,Draper,Utah,84020-5626,United States,(+1) 801-576-4240
Durban South Africa Temple,-29.70845500,31.07367100,29°42'30"S,31°4'25"E,2 Izinga Drive Izinga Ridge,Umhlanga,KwaZulu-Natal,4021,South Africa,(+27) 31-140-024
Edmonton Alberta Temple,53.48959300,-113.57053800,53°29'22"N,113°34'13"W,14325 53rd Avenue NW,Edmonton,Alberta,T6H 5G6,Canada,(+1) 780-434-7436
Feather River California Temple,39.14634400,-121.63996300,39°8'46"N,121°38'23"W,1470 Butte House Road,Yuba City,California,95993,United States,
Fort Collins Colorado Temple,40.49426900,-105.03868500,40°29'39"N,105°2'19"W,2180 Majestic Drive,Fort Collins,Colorado,,United States,(+1) 970-797-4630
Fort Lauderdale Florida Temple,26.07089900,-80.35572700,26°4'15"N,80°21'20"W,3901 SW 154th Avenue,Davie,Florida,33331,United States,(+1) 954-382-8390
Fortaleza Brazil Temple,-3.74784700,-38.46101000,3°44'52"S,38°27'39"W,Avenida Santos Dumont 7771,Fortaleza,Ceará,60177-415,Brazil,(+55) 85-3533-7150
Frankfurt Germany Temple,50.25824600,8.64131600,50°15'29"N,8°38'28"E,Talstrasse 10,Friedrichsdorf,Hessen,DE-61381,Germany,(+49) 6172-59000
Freiberg Germany Temple,50.92231500,13.32254100,50°55'20"N,13°19'21"E,Hainichener Strasse 64,Freiberg,Sachsen,DE-09599,Germany,(+49) 3731-35960
Fresno California Temple,36.82825700,-119.85291100,36°49'41"N,119°51'10"W,6290 North Valentine Avenue,Fresno,California,93711,United States,(+1) 559-437-9451
Fukuoka Japan Temple,33.57261800,130.39170400,33°34'21"N,130°23'30"E,9-15 Hirao Johsui Machi Chuo-ku,Fukuoka-shi,Fukuoka-ken,810-0029,Japan,(+81) 92-525-8255
Gilbert Arizona Temple,33.29137800,-111.73736500,33°17'28"N,111°44'14"W,3301 S Greenfield Rd,Gilbert,Arizona,85297,United States,(+1) 480-822-5000
Guadalajara Mexico Temple,20.66155000,-103.42307000,20°39'41"N,103°25'23"W,Avenida Patria no. 879 Fraccionamiento Jardines Tepeyac,Zapopán,Jalisco,45030,Mexico,(+52) 33-3125-1283
Guatemala City Guatemala Temple,14.58330300,-90.48557600,14°34'59"N,90°29'8"W,24 Avenida 2-20 Zona 15 Vista Hermosa 1,Guatemala City,Guatemala,,Guatemala,(+502) 2369-3426
Guayaquil Ecuador Temple,-2.15624600,-79.90487700,2°9'22"S,79°54'17"W,Calle 6ta y Avenida Rodrigo Chávez González Principado de las Lomas,Urdesa Norte,Guayaquil,,Ecuador,(+593) 4-371-8100
Halifax Nova Scotia Temple,44.66999000,-63.48903800,44°40'11"N,63°29'20"W,44 Cumberland Drive,Dartmouth,Nova Scotia,B2V 1P1,Canada,(+1) 902-434-6920
Hamilton New Zealand Temple,-37.82639700,175.22488500,37°49'35"S,175°13'29"E,509 Tuhikaramea Road Temple View,Hamilton,, 3218,New Zealand,(+64) 7-846-2750
Harare Zimbabwe Temple,-17.80408500,31.08242600,17°48'14"S,31°4'56"E,65 Enterprise Road Highlands,Harare,,,Zimbabwe,
Hartford Connecticut Temple,41.73755200,-72.84466600,41°44'15"N,72°50'40"W,2 Central Way,Farmington,Connecticut,06032,United States,(+1) 860-773-7200
Helena Montana Temple,46.63376829,-112.01904100,46°38'1"N,112°1'8"W,1260 Otter Road,Helena,Montana,,United States,
Helsinki Finland Temple,60.22519300,24.78178500,60°13'30"N,24°46'54"E,Leppäsillantie 3,Espoo,,FI-02620,Finland,(+358) 9-849-3710
Hermosillo Sonora Mexico Temple,29.10254800,-110.94687000,29°6'9"N,110°56'48"W,General Pedro García Conde no. 303 Esquina Con Juan José Ríos Colonia Pitic,Hermosillo,Sonora,83150,Mexico,(+52) 662-210-5660
Hong Kong China Temple,22.34045000,114.17733600,22°20'25"N,114°10'38"E,2 Cornwall Street Kowloon Tong,Kowloon City,,,Hong Kong,(+852) 2339-8100
Houston Texas Temple,29.99972900,-95.53303800,29°59'59"N,95°31'58"W,15725 Champion Forest Drive,Spring,Texas,77379-7036,United States,(+1) 281-376-6804
Idaho Falls Idaho Temple,43.49981900,-112.04150000,43°29'59"N,112°2'29"W,1000 Memorial Drive,Idaho Falls,Idaho,83402-3497,United States,(+1) 208-522-7669
Indianapolis Indiana Temple,39.95558800,-86.16574100,39°57'20"N,86°9'56"W,11565 Temple Dr,Carmel,Indiana,,United States,(+1) 317-993-3800
Johannesburg South Africa Temple,-26.17805100,28.03919500,26°10'40"S,28°2'21"E,7 Jubilee Road Parktown,Johannesburg,, 2193,South Africa,(+27) 11-645-1540
Jordan River Utah Temple,40.56635400,-111.93141700,40°33'58"N,111°55'53"W,10200 South 1300 West,South Jordan,Utah,84095-8814,United States,(+1) 801-254-3003
Kansas City Missouri Temple,39.22047300,-94.50133100,39°13'13"N,94°30'4"W,7001 Searcy Creek Parkway,Kansas City,Missouri,,United States,(+1) 816-413-1430
Kinshasa Democratic Republic of the Congo Temple,-4.32747800,15.27371000,4°19'38"S,15°16'25"E,Avenue de l'OUA Commune de Ngaliema,Kinshasa,,,Democratic Republic of the Congo,(+243) 815-590-060
Kona Hawaii Temple,19.64161400,-155.98552400,19°38'29"N,155°59'7"W,75-230 Kalani Street,Kailua Kona,Hawaii,96740-1833,United States,(+1) 808-331-8504
Kyiv Ukraine Temple,50.40451700,30.39556500,50°24'16"N,30°23'44"E,1 Yabluneva Street v. Sofiivs'ka Borshchagivka,Kyevo-Sviatoshyns'ky Rayon,Kyivs'ka Oblast,08131,Ukraine,(+380) 44-371-4088
Laie Hawaii Temple,21.64720700,-157.93065800,21°38'49"N,157°55'50"W,55-600 Naniloa Loop,Laie,Hawaii,96762-1299,United States,(+1) 808-293-2427
Las Vegas Nevada Temple,36.17459700,-115.02005200,36°10'28"N,115°1'12"W,827 Temple View Drive,Las Vegas,Nevada,89110-2920,United States,(+1) 702-452-5011
Layton Utah Temple,41.06169900,-111.93837900,41°3'42"N,111°56'18"W,1400 East Oakhills Drive (approximate),Layton,Utah,84040,United States,
Lima Peru Los Olivos Temple,-12.01999200,-77.05423700,12°1'11"S,77°3'15"W,Eloy Espinoza Urbanización Ingenieria San Martín de Porres,Lima,Lima,,Peru,
Lima Peru Temple,-12.06971300,-76.94889700,12°4'10"S,76°56'56"W,Av. Javier Prado Este 6420 Urb. Santa Patricia La Molina,Lima,Lima,12,Peru,(+51) 1-612-7200
Lindon Utah Temple,40.33717851,-111.69518900,40°20'13"N,111°41'42"W,Near 800 East and Center Street,Lindon,Utah,,United States,
Lisbon Portugal Temple,38.77918700,-9.09878400,38°46'45"N,9°5'55"W,Avenida Dom João II 1990-364 Moscavide,Lisbon,,,Portugal,(+351) 308-811-650
Logan Utah Temple,41.73416100,-111.82794300,41°44'2"N,111°49'40"W,175 North 300 East,Logan,Utah,84321-4720,United States,(+1) 435-752-3611
London England Temple,51.16256600,-0.05218100,51°9'45"N,-0°3'7"E,West Park Road,Newchapel,, RH7 6HW,United Kingdom,(+44) 1342 831-400
Los Angeles California Temple,34.05280100,-118.43390900,34°3'10"N,118°26'2"W,10777 Santa Monica Boulevard,Los Angeles,California,90025-4718,United States,(+1) 310-474-5569
Louisville Kentucky Temple,38.32112000,-85.48884300,38°19'16"N,85°29'19"W,7116 West Highway 22,Crestwood,Kentucky,40014,United States,(+1) 502-241-4115
Lubbock Texas Temple,33.52896100,-101.94141300,33°31'44"N,101°56'29"W,7016 Frankford Avenue,Lubbock,Texas,79424,United States,(+1) 806-794-0774
Madrid Spain Temple,40.40009000,-3.63158000,40°24'0"N,3°37'53"W,Calle del Templo no. 2,Madrid,,ES-28030,Spain,(+34) 91-214-2607
Manaus Brazil Temple,-3.07390700,-60.08933100,3°4'26"S,60°5'21"W,Avenida Coronel Texeira 3162 Ponta Negra,Manaus,Amazonas,69037-000,Brazil,(+55) 92-3212-7270
Manhattan New York Temple,40.77311200,-73.98162200,40°46'23"N,73°58'53"W,125 Columbus Avenue,New York,New York,10023-6514,United States,(+1) 917-441-8220
Manila Philippines Temple,14.60135600,121.06981800,14°36'4"N,121°4'11"E,13 Temple Drive Greenmeadows Subdivision,Quezon City,Metro Manila,1110,Philippines,(+63) 2-635-0954
Manti Utah Temple,39.27290600,-111.63376000,39°16'22"N,111°38'1"W,Temple Hill,Manti,Utah,84642,United States,(+1) 435-835-2291
McAllen Texas Temple,26.26811800,-98.21112500,26°16'5"N,98°12'40"W,300 West Trenton Road,McAllen,Texas,,United States,
Medford Oregon Temple,42.37332400,-122.93274600,42°22'23"N,122°55'57"W,3900 Grant Road,Central Point,Oregon,97502,United States,(+1) 541-664-2050
Melbourne Australia Temple,-37.86877400,145.21262200,37°52'7"S,145°12'45"E,76 Cathies Lane,Wantirna South,Victoria,3152,Australia,(+61) 3-9881-9700
Memphis Tennessee Temple,35.24075200,-89.83933400,35°14'26"N,89°50'21"W,4199 Kirby-Whitten Parkway,Bartlett,Tennessee,38135,United States,(+1) 901-379-0202
Mendoza Argentina Temple,-32.86375700,-68.88159200,32°51'49"S,68°52'53"W,Avenida Champagnat,Las Heras,Mendoza,,Argentina,
Mérida Mexico Temple,20.96578400,-89.63106100,20°57'56"N,89°37'51"W,Calle 70 no. 527 Esquina 65 y 67 Colonia Centro,Mérida,Yucatán,97000,Mexico,(+52) 999-928-1643
Meridian Idaho Temple,43.67102200,-116.41511500,43°40'15"N,116°24'54"W,7355 North Linder Road,Meridian,Idaho,,United States,(+1) 208-957-7300
Mesa Arizona Temple,33.41287600,-111.81957100,33°24'46"N,111°49'10"W,101 South LeSueur,Mesa,Arizona,85204-1031,United States,(+1) 480-833-1211
Mexico City Mexico Temple,19.46590500,-99.08675400,19°27'57"N,99°5'12"W,Avenida 510 no. 90 Colonia San Juan de Aragón,Mexico City,Distrito Federal,07950,Mexico,(+52) 55-5003-3700
Monterrey Mexico Temple,25.58936400,-100.25997500,25°35'21"N,100°15'35"W,Avenida Eugenio Garza Sada Esquina Privada Valle de la Estanzuela Colonia Valle Alto,Monterrey,Nuevo León,64989,Mexico,(+52) 81-8104-0635
Montevideo Uruguay Temple,-34.88844400,-56.07408800,34°53'18"S,56°4'26"W,Bolonia 1722 Carrasco,Montevideo,,11500,Uruguay,(+598) 2604-7300
Monticello Utah Temple,37.87791700,-109.34706600,37°52'40"N,109°20'49"W,365 North 200 West,Monticello,Utah,84535,United States,(+1) 435-587-3500
Montreal Quebec Temple,45.56333500,-73.49061600,45°33'48"N,73°29'26"W,1450 Boulevard Marie-Victorin,Longueuil,Quebec,J4G 1A4,Canada,(+1) 450-646-5775
Moses Lake Washington Temple,47.10344100,-119.27236200,47°6'12"N,119°16'20"W,,Moses Lake,Washington,,United States,
Mount Timpanogos Utah Temple,40.39316600,-111.77050900,40°23'35"N,111°46'13"W,742 North 900 East,American Fork,Utah,84003-9124,United States,(+1) 801-763-4540
Nashville Tennessee Temple,35.94883900,-86.86032900,35°56'55"N,86°51'37"W,1100 Gray Fox Lane,Franklin,Tennessee,37069,United States,(+1) 615-791-8668
Nauvoo Illinois Temple,40.55048000,-91.38437800,40°33'1"N,91°23'3"W,50 North Wells Street,Nauvoo,Illinois,62354,United States,(+1) 217-453-6252
Neiafu Tonga Temple,-18.64422855,-173.97760000,18°38'39"S,173°58'39"W,Tu?I Road,Neiafu,Vava'u,,Tonga,
Newport Beach California Temple,33.62962700,-117.84876600,33°37'46"N,117°50'55"W,2300 Bonita Canyon Drive,Newport Beach,California,92660-9118,United States,(+1) 949-644-1820
Nuku'alofa Tonga Temple,-21.16256100,-175.27232000,21°9'45"S,175°16'20"W,Loto Road Liahona,Nuku'alofa,Tongatapu,,Tonga,(+676) 20-300
Oakland California Temple,37.80802700,-122.19912000,37°48'28"N,122°11'56"W,4770 Lincoln Avenue,Oakland,California,94602-2535,United States,(+1) 510-531-3200
Oaxaca Mexico Temple,17.04155400,-96.71350300,17°2'29"N,96°42'48"W,Avenida Universidad no. 139 Fraccionamiento Real de Candiani,Oaxaca,Oaxaca,68130,Mexico,(+52) 951-516-9588
Ogden Utah Temple,41.22778600,-111.97150600,41°13'40"N,111°58'17"W,350 22nd Street,Ogden,Utah,84401-1487,United States,(+1) 801-621-6880
Okinawa Japan Temple,26.35828500,127.80171800,26°21'29"N,127°48'6"E,7-11 Matsumoto,Okinawa Shi,Okinawa-ken,,Japan,
Oklahoma City Oklahoma Temple,35.59184600,-97.72670000,35°35'30"N,97°43'36"W,12030 North Mustang Road,Yukon,Oklahoma,73099,United States,(+1) 405-373-2309
Oquirrh Mountain Utah Temple,40.55114500,-111.98751000,40°33'4"N,111°59'15"W,11022 South 4000 West,South Jordan,Utah,84095-5797,United States,(+1) 801-878-3800
Orem Utah Temple,40.27075500,-111.72091600,40°16'14"N,111°43'15"W,1471 South Geneva Road (approximate),Orem,Utah,,United States,
Orlando Florida Temple,28.50734800,-81.50957800,28°30'26"N,81°30'34"W,9000 Windy Ridge Road,Windermere,Florida,34786-8347,United States,(+1) 407-876-0022
Pago Pago American Samoa Temple,-14.33395900,-170.73199000,14°20'2"S,170°43'55"W,Ottoville Road,Tafuna,Western District,96799,American Samoa,
Palmyra New York Temple,43.03914800,-77.23706300,43°2'20"N,77°14'13"W,2720 Temple Road,Palmyra,New York,14522,United States,(+1) 315-597-6001
Panama City Panama Temple,8.99146000,-79.57048000,8°59'29"N,79°34'13"W,Calle Rufina 3172,Ancón,Cárdenas,,Panama,(+507) 201-6233
Papeete Tahiti Temple,-17.53661800,-149.55601900,17°32'11"S,149°33'21"W,Route de Fautaua?Titioro,Papeete,Tahiti,98716,French Polynesia,(+689) 40-50-3939
Paris France Temple,48.81789200,2.12317100,48°49'4"N,2°7'23"E,46 Boulevard Saint-Antoine 15-21 rue du General Welvert,Le Chesnay,,78150,France,(+33) 970-73-70-00
Payson Utah Temple,40.01925800,-111.74917500,40°1'9"N,111°44'57"W,1494 South 930 West,Payson,Utah,,United States,(+1) 801-754-4949
Perth Australia Temple,-31.90690500,115.86983400,31°54'24"S,115°52'11"E,163-173 Wordsworth Avenue,Yokine,Western Australia,6060,Australia,(+61) 8-9276-0000
Philadelphia Pennsylvania Temple,39.95917400,-75.16807200,39°57'33"N,75°10'5"W,1739 Vine Street,Philadelphia,Pennsylvania,19103,United States,(+1) 215-398-3040
Phnom Penh Cambodia Temple,11.56989100,104.89570700,11°34'11"N,104°53'44"E,Russian Confederation Street,Phnom Penh,,,Cambodia,
Phoenix Arizona Temple,33.69855500,-112.17232900,33°41'54"N,112°10'20"W,5220 West Pinnacle Peak Road,Phoenix,Arizona,85310,United States,(+1) 623-474-9500
Pittsburgh Pennsylvania Temple,40.69404827,-80.14091800,40°41'38"N,80°8'27"W,2093 Powell Road,Cranberry Township,Pennsylvania,16066,United States,
Pocatello Idaho Temple,42.91525900,-112.40637400,42°54'54"N,112°24'22"W,3100 Butte Street,Pocatello,Idaho,83201,United States,
Port Moresby Papua New Guinea Temple,-9.47747400,147.17654600,9°28'38"S,147°10'35"E,Muniogo Crescent Badili,Port Moresby,,,Papua New Guinea,
Port-au-Prince Haiti Temple,18.52901700,-72.26814300,18°31'44"N,72°16'5"W,Route de Freres Delmas 105 Petionville,Port-au-Prince,,,Haiti,(+509) 2262-5810
Portland Oregon Temple,45.42534500,-122.74222400,45°25'31"N,122°44'32"W,13600 SW Kruse Oaks Boulevard,Lake Oswego,Oregon,97035-8602,United States,(+1) 503-639-7066
Porto Alegre Brazil Temple,-30.03404700,-51.15786800,30°2'2"S,51°9'28"W,Rua General Salvador Pinheiro 50 Vila Jardim,Porto Alegre,Rio Grande do Sul,91320-240,Brazil,(+55) 51-2104-2700
Praia Cabo Verde Temple,14.91878900,-23.51115700,14°55'7"N,23°30'40"W,Av. Cidade de Lisboa,Praia,,,Cape Verde,
Preston England Temple,53.67247600,-2.63127500,53°40'20"N,2°37'52"W,Temple Way Hartwood Green Chorley,Lancashire,, PR6 7EQ,United Kingdom,(+44) 1257-226-100
Provo City Center Temple,40.23266700,-111.65929900,40°13'57"N,111°39'33"W,50 South University Avenue,Provo,Utah,84601,United States,(+1) 801-343-2700
Provo Utah Temple,40.26366600,-111.63977900,40°15'49"N,111°38'23"W,2200 Temple Hill Drive,Provo,Utah,84604-1766,United States,(+1) 801-375-5775
Puebla Mexico Temple,19.08541800,-98.23551400,19°5'7"N,98°14'7"W,15 de Mayo Los Cipreses,Puebla,,,Mexico,
Quetzaltenango Guatemala Temple,14.84649300,-91.54251700,14°50'47"N,91°32'33"W,9a Calle 4-03 Zona 9 Frente a Residenciales Los Cerezos 1,Quetzaltenango,,09000,Guatemala,(+502) 7728-1603
Quito Ecuador Temple,-0.21371100,-78.44101800,-0°12'49"N,78°26'27"W,,Cumbayá,,,Ecuador,
Raleigh North Carolina Temple,35.73211100,-78.86154200,35°43'55"N,78°51'41"W,574 Bryan Drive,Apex,North Carolina,27502,United States,(+1) 919-362-4135
Recife Brazil Temple,-8.03639000,-34.91112300,8°2'11"S,34°54'40"W,Rua Dr. José de Góes 284 Parnamirim,Recife,Pernambuco,52060-380,Brazil,(+55) 81-2129-4300
Red Cliffs Utah Temple,37.08218400,-113.51974100,37°4'55"N,113°31'11"W,Northeast of 3000 E and 1580 S,St. George,Utah,,United States,
Redlands California Temple,34.04903700,-117.14057900,34°2'56"N,117°8'26"W,1761 5th Avenue,Redlands,California,92374,United States,(+1) 909-389-7369
Regina Saskatchewan Temple,50.42098100,-104.54168000,50°25'15"N,104°32'30"W,111 Wascana Gate North,Regina,Saskatchewan,S4V 2J6,Canada,(+1) 306-545-8194
Reno Nevada Temple,39.53461100,-119.89891300,39°32'4"N,119°53'56"W,2000 Beaumont Parkway,Reno,Nevada,89523,United States,(+1) 775-747-6688
Rexburg Idaho Temple,43.81092200,-111.77897900,43°48'39"N,111°46'44"W,750 South 2nd East,Rexburg,Idaho,83440-5404,United States,(+1) 208-656-0880
Richmond Virginia Temple,37.67288400,-77.53537200,37°40'22"N,77°32'7"W,10915 Staples Mill Rd,Glen Allen,Virginia,,United States,
